date,q_oil,q_gas,q_water,glr,whfp,whft
8/26/2018,1922.7,340,134.32,397.76,464.55,82.75507752
8/27/2018,1851.7,160,133.27,377.76,474.65,90.75507752
8/28/2018,1255.84,230,410.21,436.76,447.24,74.96
8/29/2018,1944.06,460,746.72,401.76,380.38,83.22
8/30/2018,1948.92,390,718.77,397.76,385,84.56
8/31/2018,2067.81,400,726.94,391.76,382.28,85.36
9/1/2018,1997.99,680,738.86,392.76,380.48,86.05
9/2/2018,2002.82,910,768.23,429.76,380.66,86.54
9/3/2018,1753.02,1100,671.85,453.22,405.02,85.82
9/4/2018,1735.71,1120,680.85,464.71,405.61,86.25
9/5/2018,1730.77,960,693.1,394.82,391.52,79.75
9/6/2018,1707.56,840,705.43,350.19,386.85,78.14
9/7/2018,1695.5,1030,761.43,420.44,405.09,87.09
9/8/2018,1678.15,1120,761.37,457.47,406.71,88.62
9/9/2018,1618.45,1100,744.83,466.72,406.58,89.2
9/10/2018,1635.7,1100,728.53,464.84,407.68,89.48
9/11/2018,1616.35,1100,711.45,470.83,408.74,89.71
9/12/2018,1600.49,1000,696.13,434.12,390.39,81.41
9/13/2018,1618.74,840,697.93,360.86,386.76,79.51
9/14/2018,1647.31,790,697.98,338.12,383.56,79.02
9/15/2018,1639.84,790,693.91,339.8,382.81,78.6
9/16/2018,1687.26,820,692.51,342.89,381.95,78.38
9/17/2018,1673.97,820,677.37,350.86,381.44,78.36
9/18/2018,1590.76,920,685.07,402.93,408.59,90.07
9/19/2018,1630.1,1170,633.55,518.63,414.06,92.29
9/20/2018,1598.28,1060,627.24,475.39,389.34,94.66
9/21/2018,1729.83,1200,653.42,502.67,388.65,95.19
9/22/2018,1793.33,1180,644.73,484.81,388.78,95.44
9/23/2018,1770.66,1170,684.24,477.41,389.09,95.72
9/24/2018,1653.93,960,655.55,416.98,384.09,91.8
9/25/2018,1611.75,1010,664.1,444.23,385.19,91.13
9/26/2018,1719.83,900,672.15,376.26,365.16,84.64
9/27/2018,1787.25,840,680.26,339.21,356.74,83.09
9/28/2018,1790.98,1000,677.04,406.4,353.35,82.56
9/29/2018,1768.87,1020,658.76,418.52,351.67,82.25
9/30/2018,1757.99,990,672.92,408.9,349.81,82.09
10/1/2018,1798.51,1020,692.36,410.3,349.29,81.71
10/2/2018,1778.39,1030,700.92,416.24,349.48,81.62
10/3/2018,1731.42,980,668.8,409.67,308.94,80.53
10/4/2018,1734.92,930,682.11,386.42,329.36,81.16
10/5/2018,1797.74,920,688.91,370.14,338.6,81.75507752
10/6/2018,1948.7,1297.2,788.23,476.61,327.6,89.75507752
10/7/2018,1820.7,1375.2,794.23,476.61,344.6,82.75507752
10/8/2018,1584.3,1520,917.97,607.12,319.12,76.53
10/9/2018,1639.05,1520,841.44,613.99,326.92,79.19
10/10/2018,2066.32,1680,1206.16,512.99,258.17,80.94
10/11/2018,2332.36,1750,1163.04,502.09,261.55,83.4
10/12/2018,2384.66,1810,1108.64,517.85,261.34,83.87
10/13/2018,2700.33,1790,1281.35,450.81,204.51,85.53
10/14/2018,2844.08,1760,1375.58,416.15,191.15,86.13
10/15/2018,2881.14,1730,1343.83,409.47,213,85.87
10/16/2018,3036.24,1620,1307.45,373.88,201.41,86.07
10/17/2018,3003.76,1670,1330.85,385.96,206.72,86.03
10/18/2018,2990.48,1930,1268.65,453.61,195.31,86.09
10/19/2018,2828.5,800,1230.3,197.91,191.93,85.9
10/20/2018,2912.93,850,1188.42,206.76,196.51,85.95
10/21/2018,2948.94,960,1130.63,235.56,194.46,85.87
10/22/2018,2903.07,990,1141.8,244.26,240.86,85.19
10/23/2018,2924.79,670,1204.76,161.28,189.88,85.86
10/24/2018,2939.57,840,1193.74,202.5,199.54,85.84
10/25/2018,2974.43,960,1190.45,231.7,184.14,85.94
10/26/2018,3039.14,1030,1240.98,241.35,188.45,85.87
10/27/2018,3066.63,960,1242.79,222.77,197.06,85.77
10/28/2018,3057.61,970,1221.89,226.66,198.46,85.79
10/29/2018,2994.81,960,1225.52,227,196.07,85.81
10/30/2018,2972.96,940,1224.44,225.14,195.9,85.87
10/31/2018,2865.47,970,1260.51,234.61,194.4,85.87
11/1/2018,2902.75,950,1243.51,228.4,189.13,85.8
11/2/2018,2911.03,970,1260.49,232.77,195.75,85.82
11/3/2018,2831.76,960,1299.99,233.07,201.68,85.85
11/4/2018,2805.46,960,1282.46,236.06,191.85,85.85
11/5/2018,2811.99,960,1286.21,234.25,203.46,85.85
11/6/2018,2759.52,940,1323.54,230.71,201.42,85.84
11/7/2018,2950.24,920,1240.42,220.49,197.28,85.88
11/8/2018,2852.76,1040,1687.07,228.2,207.59,85.35
11/9/2018,2932.35,1240,1589.32,273.79,206.43,85.5
11/10/2018,2858.04,1270,1587.48,286.13,207.09,85.61
11/11/2018,2845.88,1260,1603.29,282.97,202.85,85.7
11/12/2018,2904.44,1350,1600.8,300.1,218.21,85.83
11/13/2018,2859.22,1280,1650.14,282.97,221.23,85.84
11/14/2018,2842.34,1310,1604.18,293.71,213.08,85.91
11/15/2018,2804.29,1300,1682.79,289.5,225,85.85
11/16/2018,2773.03,1200,1687.84,268.56,233.12,86.21
11/17/2018,2845.6,1240,1693.9,274.04,212.98,86.18
11/18/2018,2812.02,1370,1676.8,305.2,212.19,86.26
11/19/2018,2544.68,1450,1557.46,353.47,187.76,86.81
11/20/2018,2550.36,1410,1543.62,343.43,220.81,86.18
11/21/2018,2573.4,1210,1835.51,275.12,214.91,86.28
11/22/2018,2653.56,1020,1904.76,223.77,210.02,86.24
11/23/2018,2651.96,1060,1894.99,232.68,208.11,86.39
11/24/2018,2585.53,1000,1891.1,223.38,189.56,87.16
11/25/2018,2552.87,910,1789.65,209.79,206.07,86.45
11/26/2018,2514.18,880,1975.97,195.09,210.06,86.54
11/27/2018,2400.43,900,1976.14,204.96,221.07,88.55
11/28/2018,2401.26,880,1913.89,203.93,228.04,88.86
11/29/2018,2434.6,870,1983.03,196.03,231.95,88.99
11/30/2018,2439.63,860,1946,197.01,231.19,89.13
12/1/2018,2493.37,850,1919.95,192.15,219.39,89.21
12/2/2018,2553.92,920,1963.78,203.42,231.35,89.29
12/3/2018,2426.3,910,1965.97,206.27,232.93,89.36
12/4/2018,2426.45,910,1971.58,206.46,226.44,90.26
12/5/2018,2484.29,920,1951.49,206.28,223.21,90.41
12/6/2018,2296.14,830,1986.83,192.86,187.56,87.08
12/7/2018,2473.55,800,2045.46,177.69,214.69,86.97
12/8/2018,2432.24,820,2037.54,183.68,211.48,86.98
12/9/2018,2499.19,840,2003.77,186.77,208.35,86.93
12/10/2018,2499.13,830,2054.4,182.94,205.95,86.84
12/11/2018,2456.6,840,1989.72,190.04,209.09,86.8
12/12/2018,2518.62,820,1953.66,183.35,200.98,86.75
12/13/2018,2454.59,860,1938.49,195.53,208.87,86.79
12/14/2018,2442.02,860,1997.78,193.25,213.95,86.84
12/15/2018,2317.21,800,2165.49,177.57,202.61,86.85
12/16/2018,2246.08,810,2158.17,183.23,212.81,86.84
12/17/2018,2218.78,790,2186.29,179.34,211.65,86.83
12/18/2018,2198.11,800,2151.33,184.62,210.66,86.85
12/19/2018,2246.36,810,2193.39,182.44,206.19,86.93
12/20/2018,2241,810,2186.32,183.63,210.55,86.96
12/21/2018,2234.94,820,2147.5,187.79,215.43,86.95
12/22/2018,2254.33,840,2123.57,190.96,210.16,86.95
12/23/2018,2310.61,830,2148.26,185.92,207.18,86.98
12/24/2018,2018.54,750,2193.03,178.56,202.27,87.14
12/25/2018,1892.21,690,2391.16,161.09,209.76,87.06
12/26/2018,1939.35,670,2240.67,159.33,206.37,87.01
12/27/2018,1935.06,630,2295.58,147.73,205.1,87.09
12/28/2018,1938.93,650,2190.84,157.88,198.37,87.03
12/29/2018,1920.53,610,2377.78,140.99,199.23,87.09
12/30/2018,1977.23,640,2305.6,149.2,195.4,87.05
12/31/2018,1884.49,660,2368.55,154.95,202.33,87.06
1/1/2019,1942.96,620,2312.43,145.7,192.99,87.07
1/2/2019,1950.18,640,2384.37,148.34,195.81,87.15
1/3/2019,1872.01,640,2426.79,147.95,202.16,87.23
1/4/2019,1797.52,610,2416.1,144.29,204.23,87.36
1/5/2019,1869.7,590,2460.93,135.78,198.67,87.35
1/6/2019,1781.13,610,2486.33,142.47,214.63,87.21
1/7/2019,1837.55,600,2437.36,140.35,202.12,87.23
1/8/2019,1828.6,620,2448.6,144.49,210.95,87.26
1/9/2019,1755.35,480,2478.89,112.42,207.14,87.3
1/10/2019,1851.94,600,2551.09,137.18,206.98,87.32
1/11/2019,1840.14,600,2422.12,141.71,204.62,87.33
1/12/2019,1828.13,630,1947.92,166.31,211.22,87.28
1/13/2019,1824.63,610,2438.59,143.79,208.03,87.31
1/14/2019,1838.8,610,2380.36,145.05,206.47,87.34
1/15/2019,1888.63,620,2402.58,143.78,202.24,87.33
1/16/2019,1863.61,620,2388.9,146.74,210.62,87.34
1/17/2019,1853.04,620,2208.88,152.88,211,87.35
1/18/2019,1834.13,620,2115.97,157.46,203.41,87.36
1/19/2019,1794.32,620,2160.75,156.76,218.06,87.38
1/20/2019,1862.93,670,2252.55,163.53,199.9,87.46
1/21/2019,1782.68,640,2369.31,152.94,205.08,87.43
1/22/2019,1865.2,600,2347.31,142.2,201.98,87.42
1/23/2019,1843.96,610,2403.41,143.15,200.61,87.42
1/24/2019,1759.2,620,2353.5,151.48,209.91,87.45
1/25/2019,1779.64,630,2298.19,155.23,203.07,87.48
1/26/2019,1842.55,640,2304.99,154.07,206.88,87.41
1/27/2019,1858.57,640,2406.3,149.13,209.77,87.45
1/28/2019,1767.09,620,2447.53,146.87,210.19,87.48
1/29/2019,1859.67,620,2443.4,143.85,198.57,87.5
1/30/2019,1868.61,610,2271.16,146.63,208.85,87.55
1/31/2019,1756.68,580,2312.3,143.77,208.34,87.53
2/1/2019,1846.48,600,2349.03,142.06,201.14,87.54
2/2/2019,1765.89,580,2055.65,152.56,206.57,87.62
2/3/2019,1763.11,580,2253.8,145.39,207.54,87.66
2/4/2019,1760.6,590,2366.5,141.99,209.96,87.7
2/5/2019,1769.03,580,2318.45,142.14,207.16,87.73
2/6/2019,1750.94,570,2326.5,141.02,204.85,87.76
2/7/2019,1760.46,580,2308.86,142.78,207.85,87.83
2/8/2019,1772.21,580,2307.68,141.67,208.14,87.89
2/9/2019,1797.3,560,2267.89,138.25,213.07,87.78
2/10/2019,1760.93,530,2223.21,133.53,206.79,87.73
2/11/2019,1781.03,520,2284.69,128.14,202.99,87.56
2/12/2019,1766.63,540,2306.3,133.56,207.88,87.57
2/13/2019,1744.29,540,2319.13,133.14,203.83,87.62
2/14/2019,1745.51,540,2318.94,132.61,203.68,87.65
2/15/2019,1746.08,540,2328.11,131.31,202.23,87.68
2/16/2019,1767.79,510,2324.31,124.87,208.89,87.75
2/17/2019,1727.03,640,2412.6,155.57,201.05,87.89
2/18/2019,1766.01,530,2377.22,126.71,195.16,87.95
2/19/2019,1771.41,540,2324.98,131.82,191.81,87.94
2/20/2019,1751.44,560,2371.86,135.08,223.01,81.97
2/21/2019,1855.98,660,2538.71,150.41,185.22,86.17
2/22/2019,1882.14,680,2599.42,151.06,218.53,83.42
2/23/2019,1877.82,700,2643.17,154.17,222.31,83.41
2/24/2019,1926.64,700,2617.46,154.27,217.55,83.41
2/25/2019,1972.52,720,2586.59,157.71,228.24,87.59
2/26/2019,1925.39,750,2625.37,164.37,228.58,88.42
2/27/2019,1925.64,740,2644.39,161.92,223.95,88.66
2/28/2019,1940.78,740,2661.75,161.22,227.33,88.73
3/1/2019,1923.47,690,2737.68,148.46,223.94,84.13
3/2/2019,1907.75,600,2657.65,132.3,235.27,84.12
3/3/2019,1880.17,580,2676.17,126.42,232.86,83.94
3/4/2019,1932.59,610,2711.75,132.42,230.33,83.27
3/5/2019,1918.13,610,2739.7,131.82,232.15,83.18
3/6/2019,1894.48,610,2760.64,130.61,241.6,83.33
3/7/2019,1877.32,570,2665.99,125.02,226.79,83.22
3/8/2019,1914.44,580,2556.92,129.94,236.36,83.16
3/9/2019,1868.58,580,2562.07,130.91,219.43,83.06
3/10/2019,1902.95,680,2639.1,150.15,230.51,88.98
3/11/2019,1892.61,720,2735.72,155.13,229.97,88.69
3/12/2019,1865.04,710,2686.83,155.53,235.4,88.94
3/13/2019,1868.77,690,2722.62,150.93,235.02,91.1
3/14/2019,1917.7,790,2656.93,172.25,229.78,92.86
3/15/2019,1920.06,890,2704.3,191.38,230.55,93.13
3/16/2019,1934.52,890,2677.74,193.83,232.01,93.32
3/17/2019,1931.35,870,2579.53,193.09,237.85,93.54
3/18/2019,1900.96,850,2603.03,188.72,242.28,93.64
3/19/2019,1909.46,900,2533.8,203.23,240.57,92.17
3/20/2019,1894.57,810,2730.1,174.07,241.75,92.07
3/21/2019,1961.96,880,2694.42,188.56,232.3,92.17
3/22/2019,1929.63,810,2680.4,175.49,232.5,92.26
3/23/2019,1911.52,830,2728.75,178.65,232.41,90.34
3/24/2019,1889.11,750,2762.64,162.09,239.81,92.09
3/25/2019,1890.41,900,2734.91,193.5,233.6,89.79
3/26/2019,1878.03,770,2749.32,166.83,238.2,91.97
3/27/2019,1867.34,810,2751.56,174.72,240.05,92.25
3/28/2019,1851.82,800,2712.23,176.16,241.09,92.38
3/29/2019,1927.7,830,1594.74,345.22,130.7,88.75507752
3/30/2019,1850.7,710,1818.52,241.55,233.2,79.8
3/31/2019,1851.47,730,2504.29,167.14,229.18,84.9
4/1/2019,2016.41,810,2046.12,200.37,215.24,84.39
4/2/2019,2035.96,830,2111.06,201.35,244.1,84.97
4/3/2019,2080.51,830,2026.05,201.39,223.35,83.75
4/4/2019,2081.84,850,2045.04,205,223.55,83.63
4/5/2019,2072.38,870,2053.91,211.33,223.9,83.69
4/6/2019,2073.19,860,2021.96,210.25,231.74,83.69
4/7/2019,2005.48,810,1951.17,203.71,241.84,83.74
4/8/2019,1965.91,750,1994.81,190.37,241.87,83.79
4/9/2019,1976.11,760,1984.24,192.41,239.99,83.88
4/10/2019,1969.81,810,2080.8,201.2,245.01,83.96
4/11/2019,1959.43,770,2035.88,193.48,245.51,84.05
4/12/2019,1960.69,750,2002.43,189.5,248.1,84.03
4/13/2019,1937.09,740,1941.36,191.31,244.7,84.06
4/14/2019,1942.76,710,1944.05,183.18,249.06,84.08
4/15/2019,1957.24,710,1931.74,181.8,242.36,84.04
4/16/2019,1967.93,770,1947.48,197.68,250.05,84.1
4/17/2019,1938.59,700,2012.12,177.44,252.22,84.1
4/18/2019,1932.08,650,1973.79,167.18,246.63,84.09
4/19/2019,1915.09,650,2006.75,164.46,249.32,84.13
4/20/2019,1995.29,830,2069.57,204.19,227.83,83.98
4/21/2019,2001.46,760,1970.87,190.57,225.58,84.05
4/22/2019,1941.65,700,2056.22,174.59,235.67,89.12
4/23/2019,1932.58,850,2016.46,216.26,231.24,89.58
4/24/2019,1934.84,830,2051.7,207.45,239.67,91.81
4/25/2019,1956.09,920,1970.36,234.82,233.51,92.21
4/26/2019,1989.17,1000,2056.7,247.41,235.95,89.09
4/27/2019,1990.67,810,2120.73,197.26,235.05,88.73
4/28/2019,1953.5,790,2126.02,194.14,233.8,88.7
4/29/2019,1958.42,760,2081.8,188.36,235.38,89.97
4/30/2019,1993.81,950,2087.47,231.79,238.47,90.38
5/1/2019,1979.14,930,2051.42,230.74,237.92,90.42
5/2/2019,1923.01,920,2044.24,232.91,240.65,90.51
5/3/2019,1934.34,940,2084.13,233.67,236.82,90.52
5/4/2019,1962.5,900,2057.02,222.66,236.02,90.54
5/5/2019,1952.17,860,2103.4,212.3,238.71,90.54
5/6/2019,1944.72,860,2107.35,211.25,238.76,90.48
5/7/2019,1936.94,870,2007.25,220.32,236.94,90.53
5/8/2019,1942.23,830,1989.68,212.36,242.15,90.55
5/9/2019,1923.69,840,1998.34,213.92,241.74,90.61
5/10/2019,1918.67,830,2009.5,211.8,242.95,90.64
5/11/2019,1915.21,830,1915.78,216.65,245.39,90.59
5/12/2019,1924.96,820,1946.38,211.55,263.8,88.99
5/13/2019,1851.39,630,1906.19,168.73,246.41,85.11
5/14/2019,1881.82,660,1876.76,174.8,252.45,84.82
5/15/2019,1904.49,710,1900.95,186.05,261.54,88.06
5/16/2019,1862.94,740,1528.77,218.18,262.88,88.55
